recursive :: 3.230 ms
Size: 860
iterative :: 0.574 ms
recursive :: 3.310 ms
Size: 870
iterative :: 0.588 ms
recursive :: 3.376 ms
Size: 880
iterative :: 0.588 ms
recursive :: 3.394 ms
Size: 890
iterative :: 0.590 ms
recursive :: 3.426 ms
Size: 900
iterative :: 0.602 ms
recursive :: 3.538 ms
Size: 910
iterative :: 0.614 ms
recursive :: 3.610 ms
Size: 920
iterative :: 0.616 ms
recursive :: 3.526 ms
Size: 930
iterative :: 0.616 ms
recursive :: 3.554 ms
Size: 940
iterative :: 0.628 ms
recursive :: 3.654 ms
Size: 950
iterative :: 0.646 ms
recursive :: 3.746 ms
Size: 960
iterative :: 0.648 ms
recursive :: 3.742 ms
Size: 970
iterative :: 0.652 ms
recursive :: 3.838 ms
Size: 980
iterative :: 0.660 ms
recursive :: 3.794 ms
Size: 990
iterative :: 0.666 ms
recursive :: 3.928 ms
